Key,English

goGameWorld,[FF4F00]Select 'Aircraft  (biome)'[-]
goLootRespawnDays,Loot Respawn-[FF4F00]Select 7 Days '[-]
goAirDropFrequency,Air Drops. Set to [ffd700]DISABLED[-].

ACCENDINGJOEL,Trader Shadow Floodlight
Aircraft_1,USS Sao Paulo CV 80
Aircraft_2,USS Sao Paulo CV 80
ARMY_DEPOT_2,Army Depot
TheBridge80,Bridge
Trader_Jen_2,Trader Dawnrox
UUSS_Arleigh_Burke_Destroyer_02,USS Arleigh Burke DDG 51

drinkCanMegaCrush,Goldens Swallow

PerceptionDesc,"Perception Tree: Pack gives Pipe Rifle, Stone Spear, and a few pipe bombs with additional related magazines."
StrengthDesc,"Strength Tree: Pack gives Shotgun, Wooden Club, and a Stone Sledge hammer with additional related magazines."
AgilityDesc,"Agility Tree: Pack gives Pipe Pistol, Bone Knife, and a Wooden Bow with additional related magazines."
IntellectDesc,"Intellect Tree: Pack gives Pipe Baton, and a Robotic Sledge with additional related magazines."
FortitudeDesc,"Fortitude Tree: Pack gives Pipe Machine Gun and Knuckle wraps with additional related magazines"

LumberJackDesc,"Head-Wood harvest, Outfit-Backpack slots, Gloves-Axe Dmg+, Boots-Stamina Regen (run), Bonus- Less Stam W Axe."

PreacherDesc,"Head-Discount (buy),Outfit-Dam Resist (zom),Gloves-Dam (zom),Boots-Crit heal (treated), Bonus-Crit Resist."

RogueDesc,"Head-Loot stage +,Outfit-Noise-/Crouch speed+,Gloves-Pick Speed+/Break,Boots-Fall Distance+, Bonus-Cash+/Dukes+ (loot)."

AthleticDesc,"Head-Buy Discount (consume),Outfit-Max Health,Gloves-Max stamina,Boots-Run Speed, Bonus-Food/Water use-."

FarmerDesc,"Head-Seed chance+ (loot),Outfit-Extra Crop Chance, Gloves-Rifle Dmg+, Boots-Seed harvest chance, Bonus-Health from food+."

EnforcerDesc,"Head-Barter (buy/sell),Outfit-Crit Resist,Gloves-Less fuel in vehicle,Boots-Run Speed, Bonus-44 Reload/DMG."

BikerDesc,"Head-Stun resist,Outfit-Max Health,Gloves-Melee DMG+, Boots-Stamin Use (melee), Bonus-Armor+/Fuel use."

ScavengerDesc,"Head-XP+ (Salvaging),Outfit-Backpack slots+,Gloves- Salvage Harvest, Boots-Salvage Stamina, Bonus-Loot Stage+."

